stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,,BC Junction,BC Junction is last inbound stop,42.101354,-75.910801,,,,bcj,,
1.1,,BC Junction BHS Run Flag Stop,The stop is drop only- at Henry and Prospect,42.100719,-75.91096,,,,bcj,,
22,,BHS,Binghamton High School.  This bus will only run when school is in session.,42.099044,-75.919114,,,,,,
301,,Ross Park Zoo,The stop is located near the ticket booth at the Ross Park Zoo Binghamton,42.075096,-75.905869,,,,,,
302,,BC Junction 3 Park Ave,The stop is located at the Greater Binghamton Transportation Center BC Junction Bay 5 Dock A,42.101845,-75.910717,,,,bcj,,
303,,Morgan/Earle,The stop is located on a sign post after Earle Dr across from the Ross Park Zoo  Binghamton,42.075542,-75.905022,,,,,,
304,,Carroll / Hawley,The stop is located on a sign post  after Hawley St across from Columbus Park Binghamton,42.097018,-75.906677,,,,,,
305,,Morgan/Kane,The stop is located on a sign post about 20 feet before Kane Ave at a private residence Binghamton,42.076202,-75.906616,,,,,,
306,,Exchange/Susquehanna,The stop is located on a utility pole after Susquehanna St in front of Woodburn Court One Binghamton,42.095288,-75.90872,,,,,,
307,,Morgan/Spurr,The stop is located on a sign post about 50 feet before Spurr Ave at a private residence Binghamton,42.076294,-75.907448,,,,,,
308,,Mill / McNamara,The stop is located on a sign post across from McNamara Ave near a private residence Binghamton,42.089417,-75.906494,,,,,,
309,,Morgan/Mary,The stop is located on a sign post about 100 feet before Mary St at a private residence Binghamton,42.076672,-75.91021,,,,,,
310,,Mill / Newton,The stop is located on a sign post about 20 feet before Newton Ave at a private residence Binghamton,42.088409,-75.906311,,,,,,
311,,Morgan/Park,The stop is located on a sign post at the corner before Park Ave at a private residence Binghamton,42.077007,-75.913307,,,,,,
312,,Newton / Genesee,The stop is located on a sign post at the corner before Genesee Ave at a private residence Binghamton,42.088277,-75.907995,,,,,,
313,,Park/Maria Manor,The stop is located on a sign post at the corner before Maria Manor near Nips   Binghamton,42.078358,-75.91452,,,,,,
314,,Newton / Tremont,The stop is located on a sign post at the corner  before Tremont Ave at a private residence Binghamton,42.088207,-75.909241,,,,,,
315,,Park/Corbett,The stop is located on a sign post at the corner  before Corbett Ave by a parking lot Binghamton,42.07959,-75.914986,,,,,,
316,,Duane/James,The stop is located on a sign post about 20 feet before James St at a private residence Binghamton,42.085888,-75.909132,,,,,,
317,,Park/Sherwood,The stop is located on a telephone pole at the corner before Sherwood Ave at a private residence Binghamton,42.080452,-75.915306,,,,,,
318,,James/Mary,The stop is located on a sign post at the corner before Mary St at a private residence Binghamton,42.085781,-75.911278,,,,,,
319,,Park/Guilfoyle,The stop is located on a sign post about 25 feet before Guilfoyle Ave at a private residence Binghamton,42.081745,-75.915634,,,,,,
320,,James/S Washington,The stop is located on a telephone pole at the corner before S Washington St across from the Binghamton General Hospital Parking Lot  Binghamton,42.085766,-75.912514,,,,,,
321,,Park/Morris,The stop is located on a sign post about 20 feet before Morris St at a private residence Binghamton,42.083305,-75.915398,,,,,,
322,,S Washington / Morris,The stop is located on a sign post about 50 feet before Morris St near the NYSEG substation  Binghamton,42.083637,-75.912666,,,,,,
323,,Park Ave /General Hospital,The stop is located on a sign post near the Emergency Room at the Binghamton General Hospital.  There is a bus shelter here.,42.086275,-75.915295,,,,,,
324,,S Washington / Sherwood,The stop is located on a telephone about 50 feet before Sherwood Ave at a private residence Binghamton,42.080822,-75.912529,,,,,,
325.1,,Mitchell/General Hospital,The stop is located in front of the Binghamton General Hospital Main entrance- Binghamton,42.08663,-75.914155,,,,,,
325.2,,Pennsylvania/Manier,The stop is located about 200 feet after Manier St Binghamton.,42.085847,-75.916483,,,,,,
326,,S Washington / Woodland,The stop is located on a sign post near a telephone pole across from Woodland Ave at a private residence Binghamton,42.077927,-75.912422,,,,,,
328,,S Washington / Morgan,The stop is located on telephone pole about 20 feet  before Morgan Rd at a private residence  Binghamton,42.076893,-75.912376,,,,,,
329,,Susquehanna/Exchange,The stop is located on a sign post about 200 feet before Exchange St near Woodburn Court Two Binghamton,42.095585,-75.909393,,,,,,
331,,Carroll /Lisle,The stop is located on a sign post after Lisle Ave near Columbus Park Binghamton,42.097377,-75.906686,,,,,,
500,,BC Junction 5 Vestal Ave,The stop is located at the Greater Binghamton Transportation Center BC Junction Bay 4 Dock A,42.101462,-75.910828,,,,bcj,,
501,,Washington / Murray Hill,The stop is located on a sign post about 50 feet before Murray Hill Rd at a private residence Vestal,42.0824641752712,-75.9587545817369,,,,,,
502,,Hawley / Exchange,The stop is located  on a utility pole about 50 feet after Exchange St by the Family Court Binghamton,42.097252,-75.910271,,,,,,
503,,Washington  Country Club,The stop is located on a sign post before Country Club at a private residence Vestal,42.082924,-75.954178,,,,,,
504,,Conklin / Tremont,The stop is located on a sign post about 150 feet before Tremont Ave just after the State St overpass Binghamton,42.092323,-75.910835,,,,,,
505,,Country Club / Deerfield,The stop is located on a sign post after Deerfield Place at a private residence Vestal,42.085739,-75.954918,,,,,,
506,,Conklin / Mill,The stop is located on telephone pole before Mill St at a private residence  Binghamton,42.092773,-75.906876,,,,,,
507,,Country Club / Plaza,The stop is located on a sign post before Plaza Dr at at private residence Vestal,42.088062,-75.956306,,,,,,
508,,Conklin  / High,The stop is located on a sign post about 100 feeet after High St across from the Park Diner Binghamton,42.092896,-75.905037,,,,,,
509,,Plaza / Meadows Apts,The stop is located on a sign post near the entrance to The Meadows Apartments Vestal,42.08952,-75.95575,,,,,,
510,,Telegraph / Conklin,The stop is located on a sign post after Conklin Ave  across from Dynamic Brake Binghamton,42.093193,-75.901817,,,,,,
511,,Plaza  / Executive Plaza Dr,The stop is located on a sign post across from 120 Executive Plaza Dr Vestal,42.091724,-75.955055,,,,,,
512,,Telegraph  / Vestal,The stop is located on a sign post before Vestal Ave at a private residence Binghamton,42.0912008223956,-75.9015659687652,,,,,,
513,,University Plaza,The stop is located by the University Plaza Clocktower Vestal,42.09185,-75.951851,,,,,,
514,,Vestal / Carlton,The stop is located on telephone pole before Carlton St at a private residence  Binghamton,42.090904,-75.903786,,,,,,
515,,Vestal Ave / Normandy Ct,The stop is located on a sign post after Normandy Ct at a private residence Binghamton,42.091164,-75.94548,,,,,,
516,,Vestal / Mill,The stop is located on a sign post about 40 feet before Mill St near Anita's Hair Salon Binghamton,42.090778,-75.906334,,,,,,
517,,Vestal / Larchmont,The stop is located on a sign post before Larchmont Rd at  a private residence Binghamton,42.089184,-75.941658,,,,,,
518,,Vestal / Livingston,The stop is located on a sign post before Livingston St by St John and St Andrew Church Binghamton,42.090469,-75.907883,,,,,,
519,,Vestal / Jutland,The stop is located on a sign post before Jutland Rd at  a private residence Binghamton,42.087399,-75.937752,,,,,,
520,,Vestal / Tremont,The stop is located on a sign post before Tremont Ave at a private residence Binghamton,42.090199,-75.909294,,,,,,
521,,Vestal / Hawthorne,The stop is located on a sign post before Hawthorne Rd at  a private residence Binghamton,42.086082,-75.933235,,,,,,
522,,Vestal / New,The stop is located on a telephone pole before New St by Lincoln Court Apts Binghamton,42.089909,-75.911003,,,,,,
523,,Vestal / Clifton,The stop is located on a telephone pole before Clifton Blvd at  a private residence Binghamton,42.085644,-75.930611,,,,,,
524,,Vestal / Mary,The stop is located on a sign post before Mary St near the Southview US Post Office  Binghamton,42.089748,-75.91188,,,,,,
525,,Vestal  / Edgebrook,The stop is located on a telephone pole at the corner after Edgebrook Rd at  a private residence Binghamton,42.085178,-75.928093,,,,,,
526,,Vestal / Mitchell,The stop is located on a sign post across from Mitchell Ave across from the Mirabito Binghamton,42.088985,-75.914597,,,,,,
527,,Vestal / Denton,The stop is located on a sign post before Denton Rd at  a private residence Binghamton,42.084831,-75.92569,,,,,,
528,,Vestal / Pennsylvania,The stop is located on a sign post about 50 feet before Pennsylvania Ave by the Twin Tiers Eye Care Binghamton,42.08844,-75.915855,,,,,,
529,,Vestal / Brookfield,The stop is located on a telephone pole before Brookfield Rd across from MacArthur Park Binghamton,42.085743,-75.921867,,,,,,
530,,Vestal / Rush,The stop is located on a sign post after Rush Ave near the Park Ave Baptist Church Binghamton,42.087162,-75.918831,,,,,,
531,,Vestal / Rush,The stop is located on a sign post before Rush Ave at  a private residence Binghamton,42.087166,-75.918526,,,,,,
